NPN;token_frequency;preposition;reduplicated_noun;number_of_noun;syntactic_function;meaning;
opinioni su opinioni;1;su;opinione;pl;nominal;greater_plurality/accumulation;
ora dopo ora;1;dopo;ora;sg;modifier;succession/iteration/distributivity;
ordinanza per ordinanza;1;per;ordinanza;sg;modifier;succession/iteration/distributivity;
ore su ore;2;su;ora;pl;nominal;greater_plurality/accumulation;
organo dopo organo;1;dopo;organo;sg;modifier;succession/iteration/distributivity;
organo per organo;1;per;organo;sg;modifier;succession/iteration/distributivity;
orrore dopo orrore;1;dopo;orrore;sg;modifier;succession/iteration/distributivity;
orrori su orrori;1;su;orrore;pl;nominal;greater_plurality/accumulation;
osso contro osso;1;contro;osso;sg;modifier;juxtaposition/contact;
ostacoli su ostacoli;1;su;ostocolo;pl;nominal;greater_plurality/accumulation;
ostacolo per ostacolo;1;per;ostocolo;sg;modifier;succession/iteration/distributivity;
pacchetti su pacchetti;1;su;pacchetto;pl;nominal;greater_plurality/accumulation;
pacchetto per pacchetto;2;per;pacchetto;sg;modifier;succession/iteration/distributivity;
pacchi su pacchi;4;su;pacco;pl;nominal;greater_plurality/accumulation;
Padiglione per Padiglione;1;per;padiglione;sg;modifier;succession/iteration/distributivity;
paese per paese;30;per;paese;sg;modifier;succession/iteration/distributivity;
paesino per paesino;1;per;paesino;sg;modifier;succession/iteration/distributivity;
pagamento contro pagamento;1;contro;pagamento;sg;modifier;exchange;
pagina contro pagina;1;contro;pagina;sg;modifier;succession/iteration/distributivity;
pagina dopo pagina;61;dopo;pagina;sg;modifier;succession/iteration/distributivity;
pagina per pagina;33;per;pagina;sg;modifier;succession/iteration/distributivity;
pagina su pagina;1;su;pagina;sg;modifier;succession/iteration/distributivity;
pagine su pagine;5;su;pagine;pl;nominal;greater_plurality/accumulation;
pagliuzza per pagliuzza;1;per;pagliuzza;sg;modifier;succession/iteration/distributivity;
palazzo per palazzo;3;per;palazzo;sg;modifier;succession/iteration/distributivity;
palla su palla;2;su;palla;sg;modifier;succession/iteration/distributivity;
palloni su palloni;2;su;pallone;pl;nominal;greater_plurality/accumulation;
pallottola dopo pallottola;1;dopo;pallottola;sg;modifier;succession/iteration/distributivity;
palmo a palmo;71;a;palmo;sg;modifier;succession/iteration/distributivity;
palmo contro palmo;6;contro;palmo;sg;modifier;juxtaposition/contact;
palmo per palmo;4;per;palmo;sg;modifier;succession/iteration/distributivity;
pancia contro pancia;4;contro;pancia;sg;modifier;juxtaposition/contact;
paradossi per paradossi;1;per;paradosso;pl;clause;inescapable_presupposition;
paradosso per paradosso;1;per;paradosso;sg;clause;inescapable_presupposition;
parlamentari su parlamentari;1;su;parlamentare;pl;nominal;greater_plurality/accumulation;
parola dopo parola;12;dopo;parola;sg;modifier;succession/iteration/distributivity;
parola per parola;177;per;parola;sg;modifier;succession/iteration/distributivity;
parola su parola;3;su;parola;sg;modifier;succession/iteration/distributivity;
parola su parola;2;su;parola;sg;nominal;greater_plurality/accumulation;
parole su parole;6;su;parole;pl;nominal;greater_plurality/accumulation;
parte per parte;1;per;parte;sg;modifier;succession/iteration/distributivity;
particella per particella;1;per;particella;sg;modifier;succession/iteration/distributivity;
partita dopo partita;13;dopo;partita;sg;modifier;succession/iteration/distributivity;
partita per partita;2;per;partita;sg;modifier;succession/iteration/distributivity;
partito per partito;1;per;partito;sg;modifier;succession/iteration/distributivity;
passaggio dopo passaggio;3;dopo;passaggio;sg;modifier;succession/iteration/distributivity;
passaggio per passaggio;1;per;passaggio;sg;modifier;succession/iteration/distributivity;
passettino dopo passettino;1;dopo;passettino;sg;modifier;succession/iteration/distributivity;
passetto dopo passetto;1;dopo;passetto;sg;modifier;succession/iteration/distributivity;
passo a passo;31;a;passo;sg;modifier;idiosyncratic;
passo dietro passo;2;dietro;passo;sg;modifier;succession/iteration/distributivity;
passo dopo passo;278;dopo;passo;sg;modifier;succession/iteration/distributivity;
passo per passo;78;per;passo;sg;modifier;succession/iteration/distributivity;
pasta su pasta;1;su;pasta;sg;nominal;greater_plurality/accumulation;
pasticci su pasticci;2;su;pasticcio;pl;nominal;greater_plurality/accumulation;
paziente per paziente;2;per;paziente;sg;modifier;succession/iteration/distributivity;
peccato dopo peccato;1;dopo;peccato;sg;modifier;succession/iteration/distributivity;
pedalata dopo pedalata;1;dopo;pedalata;sg;modifier;succession/iteration/distributivity;
pedalata su pedalata;1;su;pedalata;sg;modifier;succession/iteration/distributivity;
pedina dopo pedina;1;dopo;pedina;sg;modifier;succession/iteration/distributivity;
pelle a pelle;1;a;pelle;sg;modifier;juxtaposition/contact;
pelle con pelle;1;con;pelle;sg;modifier;juxtaposition/contact;
pelle contro pelle;9;contro;pelle;sg;modifier;juxtaposition/contact;
pelle su pelle;5;su;pelle;sg;modifier;juxtaposition/contact;
pelo dopo pelo;1;dopo;pelo;sg;modifier;succession/iteration/distributivity;
pendio per pendio;1;per;pendio;sg;modifier;succession/iteration/distributivity;
pennellata dopo pennellata;1;dopo;pennellata;sg;modifier;succession/iteration/distributivity;
pensiero dopo pensiero;1;dopo;pensiero;sg;modifier;succession/iteration/distributivity;
permessi su permessi;2;su;permesso;pl;nominal;greater_plurality/accumulation;
persona per persona;5;per;persona;sg;modifier;succession/iteration/distributivity;
personaggio per personaggio;1;per;personaggio;sg;modifier;succession/iteration/distributivity;
pesce dopo pesce;1;dopo;pesce;sg;modifier;succession/iteration/distributivity;
petalo dopo petalo;1;dopo;petalo;sg;modifier;succession/iteration/distributivity;
petalo per petalo;1;per;petalo;sg;modifier;succession/iteration/distributivity;
petto a petto;1;a;petto;sg;modifier;juxtaposition/contact;
petto contro petto;4;contro;petto;sg;modifier;juxtaposition/contact;
pezzettino dopo pezzettino;1;dopo;pezzettino;sg;modifier;succession/iteration/distributivity;
pezzettino per pezzettino;9;per;pezzettino;sg;modifier;succession/iteration/distributivity;
pezzettino su pezzettino;1;su;pezzettino;sg;modifier;succession/iteration/distributivity;
pezzetto per pezzetto;4;per;pezzetto;sg;modifier;succession/iteration/distributivity;
pezzetto su pezzetto;1;su;pezzetto;sg;modifier;succession/iteration/distributivity;
pezzo a pezzo;19;a;pezzo;sg;modifier;succession/iteration/distributivity;
pezzo dopo pezzo;38;dopo;pezzo;sg;modifier;succession/iteration/distributivity;
pezzo per pezzo;122;per;pezzo;sg;modifier;succession/iteration/distributivity;
pezzo su pezzo;2;su;pezzo;sg;modifier;succession/iteration/distributivity;
pianerottolo dopo pianerottolo;1;dopo;pianerottolo;sg;modifier;succession/iteration/distributivity;
piani su piani;2;su;piano;pl;nominal;greater_plurality/accumulation;
piano contro piano;1;contro;piano;sg;modifier;juxtaposition/contact;
piano dopo piano;5;dopo;piano;sg;modifier;succession/iteration/distributivity;
piano per piano;3;per;piano;sg;modifier;succession/iteration/distributivity;
piano su piano;1;su;piano;sg;modifier;succession/iteration/distributivity;
piantina per piantina;1;per;piantina;sg;modifier;succession/iteration/distributivity;
piazza dopo piazza;1;dopo;piazza;sg;modifier;succession/iteration/distributivity;
piazza per piazza;2;per;piazza;sg;modifier;succession/iteration/distributivity;
piede contro piede;2;contro;piede;sg;modifier;juxtaposition/contact;
piede per piede;1;per;piede;sg;modifier;succession/iteration/distributivity;
piede su piede;2;su;piede;sg;modifier;juxtaposition/contact;
pietra dopo pietra;8;dopo;pietra;sg;modifier;succession/iteration/distributivity;
pietra per pietra;8;per;pietra;sg;modifier;succession/iteration/distributivity;
pietra su pietra;10;su;pietra;sg;modifier;succession/iteration/distributivity;
pietra su pietra;6;su;pietra;sg;nominal;idiosyncratic;
pietra su pietra;1;su;pietra;sg;nominal;greater_plurality/accumulation;
pignolaggine per pignolaggine;1;per;pignolaggine;sg;clause;inescapable_presupposition;
pigrizia dopo pigrizia;1;dopo;pigrizia;sg;modifier;succession/iteration/distributivity;
pile su pile;1;su;pila;pl;nominal;greater_plurality/accumulation;
pinna contro pinna;1;contro;pinna;sg;modifier;juxtaposition/contact;
piolo dopo piolo;1;dopo;piolo;sg;modifier;succession/iteration/distributivity;
piolo per piolo;1;per;piolo;sg;modifier;succession/iteration/distributivity;
piste su piste;1;su;pista;pl;nominal;greater_plurality/accumulation;
pixel a pixel;2;a;pixel;sg;modifier;succession/iteration/distributivity;
pixel per pixel;2;per;pixel;sg;modifier;succession/iteration/distributivity;
plastica per plastica;1;per;plastica;sg;clause;inescapable_presupposition;
plichi su plichi;1;su;plico;pl;nominal;greater_plurality/accumulation;
poco a poco;344;a;poco;sg;nominal;idiosyncratic;
polemica dopo polemica;1;dopo;polemica;sg;modifier;succession/iteration/distributivity;
polemiche su polemiche;2;su;polemica;pl;nominal;greater_plurality/accumulation;
polizza per polizza;1;per;polizza;sg;modifier;succession/iteration/distributivity;
pollice per pollice;1;per;pollice;sg;modifier;succession/iteration/distributivity;
poltrona per poltrona;1;per;poltrona;sg;modifier;succession/iteration/distributivity;
pomeriggio dopo pomeriggio;1;dopo;pomeriggio;sg;modifier;succession/iteration/distributivity;
ponte per ponte;2;per;ponte;sg;modifier;succession/iteration/distributivity;
porta a porta;170;a;porta;sg;modifier;succession/iteration/distributivity;
porta a porta;45;a;porta;sg;nominal;idiosyncratic;
porte su porte;1;su;porta;pl;nominal;greater_plurality/accumulation;
porto per porto;3;per;porto;sg;modifier;succession/iteration/distributivity;
posizioni su posizioni;2;su;posizione;pl;nominal;greater_plurality/accumulation;
postulatore per postulatore;1;per;postulatore;sg;modifier;succession/iteration/distributivity;
pranzo dopo pranzo;1;dopo;pranzo;sg;modifier;succession/iteration/distributivity;
pratica dopo pratica;1;dopo;pratica;sg;modifier;succession/iteration/distributivity;
pratica per pratica;1;per;pratica;sg;modifier;succession/iteration/distributivity;
preda dopo preda;1;dopo;preda;sg;modifier;succession/iteration/distributivity;
preghiera dopo preghiera;1;dopo;preghiera;sg;modifier;succession/iteration/distributivity;
premi su premi;2;su;premio;pl;nominal;greater_plurality/accumulation;
problema per problema;1;per;problema;sg;modifier;succession/iteration/distributivity;
processo dopo processo;1;dopo;processo;sg;modifier;succession/iteration/distributivity;
procure su procure;1;su;procura;pl;nominal;greater_plurality/accumulation;
prodotto per prodotto;2;per;prodotto;sg;modifier;succession/iteration/distributivity;
progetti su progetti;3;su;progetto;pl;nominal;greater_plurality/accumulation;
progetto dopo progetto;1;dopo;progetto;sg;modifier;succession/iteration/distributivity;
progetto per progetto;2;per;progetto;sg;modifier;succession/iteration/distributivity;
programma per programma;2;per;programma;sg;modifier;succession/iteration/distributivity;
programmi su programmi;1;su;programma;pl;nominal;greater_plurality/accumulation;
proiettile per proiettile;1;per;proiettile;sg;modifier;succession/iteration/distributivity;
promozione dopo promozione;1;dopo;promozione;sg;modifier;succession/iteration/distributivity;
proposte su proposte;1;su;proposta;pl;nominal;greater_plurality/accumulation;
proprietario per proprietario;1;per;proprietario;sg;modifier;succession/iteration/distributivity;
prova su prova;1;su;prova;sg;modifier;succession/iteration/distributivity;
prove su prove;13;su;prove;pl;nominal;greater_plurality/accumulation;
provincia dopo provincia;1;dopo;provincia;sg;modifier;succession/iteration/distributivity;
provincia per provincia;10;per;provincia;sg;modifier;succession/iteration/distributivity;
provini su provini;1;su;provino;pl;nominal;greater_plurality/accumulation;
provvedimento per provvedimento;1;per;provvedimento;sg;modifier;succession/iteration/distributivity;
pugno contro pugno;2;contro;pugno;sg;modifier;juxtaposition/contact;
punta per punta;1;per;punta;sg;modifier;succession/iteration/distributivity;
punti su punti;3;su;punto;pl;nominal;greater_plurality/accumulation;
punto a punto;7;a;punto;sg;modifier;succession/iteration/distributivity;
punto a punto;15;a;punto;sg;modifier;idiosyncratic;
punto contro punto;1;contro;punto;sg;modifier;juxtaposition/contact;
punto dopo punto;6;dopo;punto;sg;modifier;succession/iteration/distributivity;
punto per punto;147;per;punto;sg;modifier;succession/iteration/distributivity;
punto su punto;13;su;punto;sg;modifier;succession/iteration/distributivity;
quadretto per quadretto;1;per;quadretto;sg;modifier;succession/iteration/distributivity;
quadriennio per quadriennio;1;per;quadriennio;sg;modifier;succession/iteration/distributivity;
quadro per quadro;1;per;quadro;sg;modifier;succession/iteration/distributivity;
quartiere dopo quartiere;1;dopo;quartiere;sg;modifier;succession/iteration/distributivity;
quartiere per quartiere;9;per;quartiere;sg;modifier;succession/iteration/distributivity;
quesito per quesito;1;per;quesito;sg;modifier;succession/iteration/distributivity;
quintale dopo quintale;1;dopo;quintale;sg;modifier;succession/iteration/distributivity;
quota dopo quota;1;dopo;quota;sg;modifier;succession/iteration/distributivity;
quotidiano per quotidiano;1;per;quotidiano;sg;modifier;succession/iteration/distributivity;
racconto dopo racconto;2;dopo;racconto;sg;modifier;succession/iteration/distributivity;
ragioni su ragioni;1;su;ragioni;pl;nominal;greater_plurality/accumulation;
ramo dopo ramo;2;dopo;ramo;sg;modifier;succession/iteration/distributivity;
ramo per ramo;4;per;ramo;sg;modifier;succession/iteration/distributivity;
rampa dopo rampa;1;dopo;rampa;sg;modifier;succession/iteration/distributivity;
rasatura dopo rasatura;1;dopo;rasatura;sg;modifier;succession/iteration/distributivity;
razione dopo razione;1;dopo;razione;sg;modifier;succession/iteration/distributivity;
reato per reato;1;per;reato;sg;modifier;succession/iteration/distributivity;
reazione dopo reazione;1;dopo;reazione;sg;modifier;succession/iteration/distributivity;
recita dopo recita;2;dopo;recita;sg;modifier;succession/iteration/distributivity;
record per record;1;per;record;sg;modifier;succession/iteration/distributivity;
record su record;9;su;record;sg/pl;nominal;greater_plurality/accumulation;
reduce dopo reduce;1;dopo;reduce;sg;modifier;succession/iteration/distributivity;
referendum dopo referendum;1;dopo;referendum;sg;modifier;succession/iteration/distributivity;
regione per regione;58;per;regione;sg;modifier;succession/iteration/distributivity;
relazione dopo relazione;1;dopo;relazione;sg;modifier;succession/iteration/distributivity;
reparto per reparto;3;per;reparto;sg;modifier;succession/iteration/distributivity;
reputazione per reputazione;1;per;reputazione;sg;clause;inescapable_presupposition;
respiro dopo respiro;1;dopo;respiro;sg;modifier;succession/iteration/distributivity;
respiro per respiro;1;per;respiro;sg;modifier;succession/iteration/distributivity;
rete dopo rete;1;dopo;rete;sg;modifier;succession/iteration/distributivity;
rete per rete;1;per;rete;sg;modifier;succession/iteration/distributivity;
ricevuta dopo ricevuta;1;dopo;ricevuta;sg;modifier;succession/iteration/distributivity;
ricorsi su ricorsi;1;su;ricorso;pl;nominal;greater_plurality/accumulation;
ricovero per ricovero;1;per;ricovero;sg;modifier;succession/iteration/distributivity;
ricreazione dopo ricreazione;1;dopo;ricreazione;sg;modifier;succession/iteration/distributivity;
riduzione dopo riduzione;1;dopo;riduzione;sg;modifier;succession/iteration/distributivity;
riff dopo riff;1;dopo;riff;sg;modifier;succession/iteration/distributivity;
riforma per riforma;1;per;riforma;sg;modifier;succession/iteration/distributivity;
riga dopo riga;14;dopo;riga;sg;modifier;succession/iteration/distributivity;
riga per riga;18;per;riga;sg;modifier;succession/iteration/distributivity;
righe su righe;2;su;riga;pl;nominal;greater_plurality/accumulation;
rigo dopo rigo;1;dopo;rigo;sg;modifier;succession/iteration/distributivity;
rigo per rigo;5;per;rigo;sg;modifier;succession/iteration/distributivity;
rinvii su rinvii;2;su;rinvio;pl;nominal;greater_plurality/accumulation;
riscatto dopo riscatto;1;dopo;riscatto;sg;modifier;succession/iteration/distributivity;
risme su risme;1;su;risma;pl;nominal;greater_plurality/accumulation;
ritardi su ritardi;4;su;ritardo;pl;nominal;greater_plurality/accumulation;
ritmi su ritmi;1;su;ritmo;pl;nominal;greater_plurality/accumulation;
riunione dopo riunione;1;dopo;riunone;sg;modifier;succession/iteration/distributivity;
riunioni su riunioni;8;su;riunione;pl;nominal;greater_plurality/accumulation;
rivelazione dopo rivelazione;1;dopo;rivelazione;sg;modifier;succession/iteration/distributivity;
rivolte su rivolte;1;su;rivolta ;pl;nominal;greater_plurality/accumulation;
romanzo dopo romanzo;3;dopo;romanzo;sg;modifier;succession/iteration/distributivity;
rospi su rospi;1;su;rospo;pl;nominal;greater_plurality/accumulation;
rostro contro rostro;1;contro;rostro;sg;modifier;juxtaposition/contact;
round dopo round;1;dopo;round;sg;modifier;succession/iteration/distributivity;
rovescio su rovescio;1;su;rovescio;sg;modifier;succession/iteration/distributivity;
rovine su rovine;2;su;rovina;pl;nominal;greater_plurality/accumulation;
ruga per ruga;2;per;ruga;sg;modifier;succession/iteration/distributivity;
ruggine su ruggine;1;su;ruggine;sg;modifier;juxtaposition/contact;
ruolo per ruolo;2;per;ruolo;sg;modifier;succession/iteration/distributivity;
ruota a ruota;1;a;ruota;sg;nominal;juxtaposition/contact;
ruota a ruota;1;a;ruota;sg;modifier;juxtaposition/contact;
saggio dopo saggio;1;dopo;saggio;sg;modifier;succession/iteration/distributivity;
sala per sala;1;per;sala;sg;modifier;succession/iteration/distributivity;
sandwich dopo sandwich;1;dopo;sandwich ;sg;modifier;succession/iteration/distributivity;
sangue su sangue;2;su;sangue;sg;modifier;succession/iteration/distributivity;
saponi su saponi;1;su;sapone;pl;nominal;greater_plurality/accumulation;
sasso dopo sasso;2;dopo;sasso;sg;modifier;succession/iteration/distributivity;
sassolino su sassolino;1;su;sassolino;sg;modifier;succession/iteration/distributivity;
sbagli su sbagli;1;su;sbaglio;pl;nominal;greater_plurality/accumulation;
sbandate su sbandate;1;su;sbandata;pl;nominal;greater_plurality/accumulation;
sbavatura per sbavatura;1;per;sbavatura;sg;modifier;succession/iteration/distributivity;
scadenza per scadenza;1;per;scadenza;sg;modifier;succession/iteration/distributivity;
scaffale dopo scaffale;1;dopo;scaffale;sg;modifier;succession/iteration/distributivity;
scaffale per scaffale;2;per;scaffale;sg;modifier;succession/iteration/distributivity;
scaglia a scaglia;2;a;scaglia;sg;modifier;succession/iteration/distributivity;
scaglione per scaglione;1;per;scaglione;sg;modifier;succession/iteration/distributivity;
scalino dopo scalino;3;dopo;scalino;sg;modifier;succession/iteration/distributivity;
scalino per scalino;1;per;scalino;sg;modifier;succession/iteration/distributivity;
scalo per scalo;1;per;scalo;sg;modifier;succession/iteration/distributivity;
scandalo dopo scandalo;1;dopo;scandalo;sg;modifier;succession/iteration/distributivity;
scatole su scatole;1;su;scatola;pl;nominal;greater_plurality/accumulation;
scavi dopo scavi;1;dopo;scavo;pl;modifier;succession/iteration/distributivity;
scena dopo scena;7;dopo;scena;sg;modifier;succession/iteration/distributivity;
scena per scena;3;per;scena;sg;modifier;succession/iteration/distributivity;
scenario per scenario;1;per;scenario;sg;modifier;succession/iteration/distributivity;
scheda su scheda;1;su;scheda;sg;modifier;succession/iteration/distributivity;
schermo a schermo;1;a;schermo;sg;modifier;juxtaposition/contact;
scherzi su scherzi;1;su;scherzo;pl;nominal;greater_plurality/accumulation;
schiaffoni su schiaffoni;1;su;schiaffone;pl;nominal;greater_plurality/accumulation;
Schiantesimi su Schiantesimi;1;su;schiantesimi;pl;nominal;greater_plurality/accumulation;
schiena a schiena;1;a;schiena;sg;modifier;juxtaposition/contact;
schiena contro schiena;22;contro;schiena;sg;modifier;juxtaposition/contact;
schiera dopo schiera;1;dopo;schiera;sg;modifier;succession/iteration/distributivity;
schiere su schiere;1;su;schiera;pl;nominal;greater_plurality/accumulation;
sciabola contro sciabola;1;contro;sciabola;sg;modifier;juxtaposition/contact;
sciocchezze dietro sciocchezze;1;dietro;sciocchezza;pl;nominal;greater_plurality/accumulation;
scommesse su scommesse;1;su;scommessa;pl;nominal;greater_plurality/accumulation;
scompartimento dopo scompartimento;1;dopo;scompartimento;sg;modifier;succession/iteration/distributivity;
scompartimento per scompartimento;1;per;scompartimento;sg;modifier;succession/iteration/distributivity;
sconfitta dopo sconfitta;1;dopo;sconfitta;sg;modifier;succession/iteration/distributivity;
scongiuro per scongiuro;1;per;scongiuro;sg;clause;inescapable_presupposition;
scontro dopo scontro;1;dopo;scontro;sg;modifier;succession/iteration/distributivity;
scossa dopo scossa;2;dopo;scossa;sg;modifier;succession/iteration/distributivity;
scricchiolio dopo scricchiolio;1;dopo;scricchiolio;sg;modifier;succession/iteration/distributivity;
scriminatura per scriminatura;1;per;scriminatura;sg;modifier;succession/iteration/distributivity;
scudo contro scudo;4;contro;scudo;sg;modifier;juxtaposition/contact;
scuola per scuola;3;per;scuola;sg;modifier;succession/iteration/distributivity;
secchio dopo secchio;1;dopo;secchio;sg;modifier;succession/iteration/distributivity;
secolo dopo secolo;7;dopo;secolo;sg;modifier;succession/iteration/distributivity;
secolo per secolo;2;per;secolo;sg;modifier;succession/iteration/distributivity;
secondi su secondi;2;su;secondo;pl;nominal;greater_plurality/accumulation;
secondo per secondo;1;per;secondo;sg;modifier;succession/iteration/distributivity;
seggio per seggio;4;per;seggio;sg;modifier;succession/iteration/distributivity;
segherie su segherie;1;su;segheria;pl;nominal;greater_plurality/accumulation;
segmento dopo segmento;1;dopo;segmento;sg;modifier;succession/iteration/distributivity;
segmento per segmento;2;per;segmento;sg;modifier;succession/iteration/distributivity;
segno dopo segno;4;dopo;segno;sg;modifier;succession/iteration/distributivity;
segno per segno;2;per;segno;sg;modifier;succession/iteration/distributivity;
segno per segno;1;per;segno;sg;clause;inescapable_presupposition;
segno sopra segno;1;sopra;segno;sg;modifier;succession/iteration/distributivity;
semina per semina;1;per;semina;sg;modifier;succession/iteration/distributivity;
sentenza dopo sentenza;2;dopo;sentenza;sg;modifier;succession/iteration/distributivity;
sentenze su sentenze;1;su;sentenza;pl;nominal;greater_plurality/accumulation;
separazione dopo separazione;1;dopo;separazione;sg;modifier;succession/iteration/distributivity;
sequenza dopo sequenza;5;dopo;sequenza;sg;modifier;succession/iteration/distributivity;
sequenza per sequenza;4;per;sequenza;sg;modifier;succession/iteration/distributivity;
sequestro contro sequestro;1;contro;sequestro;sg;modifier;succession/iteration/distributivity;
sequestro dopo sequestro;1;dopo;sequestro;sg;modifier;succession/iteration/distributivity;
sera dietro sera;2;dietro;sera;sg;modifier;succession/iteration/distributivity;
sera dopo sera;33;dopo;sera;sg;modifier;succession/iteration/distributivity;
sera per sera;7;per;sera;sg;modifier;succession/iteration/distributivity;
serata dopo serata;1;dopo;serata;sg;modifier;succession/iteration/distributivity;
serate su serate;1;su;serata;pl;nominal;greater_plurality/accumulation;
servizio per servizio;4;per;servizio;sg;modifier;succession/iteration/distributivity;
set per set;1;per;set;sg;modifier;succession/iteration/distributivity;
settimana a settimana;2;a;settimana;sg;modifier;succession/iteration/distributivity;
settimana dopo settimana;31;dopo;settimana;sg;modifier;succession/iteration/distributivity;
settimana per settimana;18;per;settimana;sg;modifier;succession/iteration/distributivity;
settimane dopo settimane;1;dopo;settimana;pl;modifier;succession/iteration/distributivity;
settimane su settimane;1;su;settimana;pl;nominal;greater_plurality/accumulation;
settore dopo settore;1;dopo;settore;sg;modifier;succession/iteration/distributivity;
settore per settore;23;per;settore;sg;modifier;succession/iteration/distributivity;
sezione per sezione;4;per;sezione;sg;modifier;succession/iteration/distributivity;
sfida a sfida;1;a;sfida;sg;modifier;succession/iteration/distributivity;
shampoo dopo shampoo;1;dopo;shampoo;sg;modifier;succession/iteration/distributivity;
shit dopo shit;1;dopo;shit;sg;modifier;succession/iteration/distributivity;
sigaretta dopo sigaretta;1;dopo;sigaretta;sg;modifier;succession/iteration/distributivity;
sillaba per sillaba;2;per;sillaba;sg;modifier;succession/iteration/distributivity;
sillaba su sillaba;1;su;sillaba;sg;modifier;succession/iteration/distributivity;
simmetria su simmetria;1;su;simmetria;sg;modifier;succession/iteration/distributivity;
sincerità per sincerità;4;per;sincerità;sg;modifier;succession/iteration/distributivity;
sinonimo dopo sinonimo;1;dopo;sinonimo;sg;modifier;succession/iteration/distributivity;
sistemi su sistemi;1;su;sistema;pl;nominal;greater_plurality/accumulation;
sito dopo sito;1;dopo;sito;sg;modifier;succession/iteration/distributivity;
sito per sito;2;per;sito;sg;modifier;succession/iteration/distributivity;
situazione per situazione;3;per;situazione;sg;modifier;succession/iteration/distributivity;
società per società;2;per;società;sg;modifier;succession/iteration/distributivity;
soggezione per soggezione;1;per;soggezione;sg;clause;inescapable_presupposition;
sogno dopo sogno;1;dopo;sogno;sg;modifier;succession/iteration/distributivity;
soldi per soldi;1;per;soldo;pl;clause;inescapable_presupposition;
soldi su soldi;5;su;soldi;pl;nominal;greater_plurality/accumulation;
soldino su soldino;1;su;soldino;sg;modifier;succession/iteration/distributivity;
sondaggio dopo sondaggio;2;dopo;sondaggio;sg;modifier;succession/iteration/distributivity;
soprammobile per soprammobile;2;per;soprammobile;sg;modifier;succession/iteration/distributivity;
sorriso per sorriso;1;per;sorriso;sg;modifier;succession/iteration/distributivity;
sorso a sorso;1;a;sorso;sg;modifier;succession/iteration/distributivity;
sorso dopo sorso;1;dopo;sorso;sg;modifier;succession/iteration/distributivity;
spada contro spada;1;contro;spada;sg;modifier;juxtaposition/contact;
spalla a spalla;51;a;spalla;sg;modifier;juxtaposition/contact;
spalla contro spalla;19;contro;spalla;sg;modifier;juxtaposition/contact;
spalla dopo spalla;1;dopo;spalla;sg;modifier;succession/iteration/distributivity;
spalle a spalle;2;a;spalla;pl;modifier;juxtaposition/contact;
specchio contro specchio;1;contro;specchio;sg;nominal;idiosyncratic;
specie per specie;4;per;specie;sg;modifier;succession/iteration/distributivity;
sperimentazione dopo sperimentazione;1;dopo;sperimentazione;sg;modifier;succession/iteration/distributivity;
spesa per spesa;1;per;spesa;sg;modifier;succession/iteration/distributivity;
spesa su spesa;1;su;spesa;sg;modifier;succession/iteration/distributivity;
spettacolo dopo spettacolo;2;dopo;spettacolo;sg;modifier;succession/iteration/distributivity;
spettacolo per spettacolo;1;per;spettacolo;sg;clause;inescapable_presupposition;
spiaggia per spiaggia;1;per;spiaggia;sg;modifier;succession/iteration/distributivity;
spiegazioni su spiegazioni;1;su;spiegazione;pl;nominal;greater_plurality/accumulation;
spinta su spinta;1;su;spinta;sg;modifier;succession/iteration/distributivity;
spirale dopo spirale;1;dopo;spirale;sg;modifier;succession/iteration/distributivity;
sportello contro sportello;1;contro;sportello;sg;modifier;juxtaposition/contact;
squadra per squadra;3;per;squadra;sg;modifier;succession/iteration/distributivity;
squadriglia dopo squadriglia;1;dopo;sqadriglia;sg;modifier;succession/iteration/distributivity;
squadrone dopo squadrone;2;dopo;squadrone;sg;modifier;succession/iteration/distributivity;
squadrone per squadrone;1;per;squadrone;sg;nominal;succession/iteration/distributivity;
squama dopo squama;1;dopo;squama;sg;modifier;succession/iteration/distributivity;
squama per squama;1;per;squama;sg;modifier;succession/iteration/distributivity;
stabilimento per stabilimento;2;per;stabilimento;sg;modifier;succession/iteration/distributivity;
staggio su staggio;1;su;staggio;sg;modifier;succession/iteration/distributivity;
stagione dopo stagione;23;dopo;stagione;sg;modifier;succession/iteration/distributivity;
stagione per stagione;2;per;stagione;sg;modifier;succession/iteration/distributivity;
stagione su stagione;2;su;stagione;sg;modifier;succession/iteration/distributivity;
stagioni su stagioni;1;su;stagione;pl;nominal;greater_plurality/accumulation;
stalla per stalla;2;per;stalla;sg;modifier;succession/iteration/distributivity;
stamberga per stamberga;1;per;stamberga;sg;modifier;succession/iteration/distributivity;
stampella dopo stampella;1;dopo;stampella;sg;modifier;succession/iteration/distributivity;
stand dopo stand;1;dopo;stand;sg;modifier;succession/iteration/distributivity;
stand per stand;1;per;stand;sg;modifier;succession/iteration/distributivity;
stanza dopo stanza;1;dopo;stanza;sg;modifier;succession/iteration/distributivity;
stanza per stanza;21;per;stanza;sg;modifier;succession/iteration/distributivity;
stanze su stanze;1;su;stanza;pl;nominal;greater_plurality/accumulation;
Stato per Stato;1;per;stato;sg;modifier;succession/iteration/distributivity;
stazione dopo stazione;3;dopo;stazione;sg;modifier;succession/iteration/distributivity;
stazione per stazione;1;per;stazione;sg;modifier;succession/iteration/distributivity;
